tipo,nombre_original,nombre_corregido
ave,Crypturellus tataupa,Crypturellus tataupa
ave,Aramides cajaneus,Aramides cajaneus
ave,Aramides ypecaa,Aramides ypecaa
ave,Nannopterum brasilianum,Nannopterum brasilianum
ave,Ardea alba,Ardea alba
ave,Ardea cocoi,Ardea cocoi
ave,Butorides striata,Butorides striata
ave,Syrigma sibilatrix,Syrigma sibilatrix
ave,Phimosus infuscatus,Phimosus infuscatus
ave,Cathartes aura,Cathartes aura
ave,Coragyps atratus,Coragyps atratus
ave,Rupornis magnirostris,Rupornis magnirostris
ave,Busarellus nigricollis,Busarellus nigricollis
ave,Rostrhamus sociabilis,Rostrhamus sociabilis
ave,Daptrius chimachima,Daptrius chimachima
ave,Caracara plancus,Caracara plancus
ave,Falco sparverius,Falco sparverius
ave,Vanellus chilensis,Vanellus chilensis
ave,Jacana jacana,Jacana jacana
ave,Columbina talpacoti,Columbina talpacoti
ave,Columbina picui,Columbina picui
ave,Columba squammata,Columba squammata
ave,Leptotila verreauxi,Leptotila verreauxi
ave,Patagioenas picazuro,Patagioenas picazuro
ave,Myopsitta monachus,Myopsitta monachus
ave,Amazona aestiva,Amazona aestiva
ave,Aratinga nenday,Aratinga nenday
ave,Thectocercus acuticaudatus,Thectocercus acuticaudatus
ave,Forpus xanthopterygius,Forpus xanthopterygius
ave,Guira guira,Guira guira
ave,Crotophaga ani,Crotophaga ani
ave,Tapera naevia,Tapera naevia
ave,Coccyzus americanus,Coccyzus americanus
ave,Chlorostilbon lucidus,Chlorostilbon lucidus
ave,Hylochelris chyrsura,Hylochelris chyrsura
ave,Colaptes campestris,Colaptes campestris
ave,Melanerpes candidus,Melanerpes candidus
ave,Picumnus cirratus,Picumnus cirratus
ave,Certhiaxis cinnamomeus,Certhiaxis cinnamomeus
ave,Pachellodomus rube,Pachellodomus rube
ave,Furnarius rufus,Furnarius rufus
ave,Lepidocolaptes angustirostris,Lepidocolaptes angustirostris
ave,Xiphocolaptes major,Xiphocolaptes major
ave,Camptorhamphus trochilirostris,Camptorhamphus trochilirostris
ave,Synallaxis frontalis,Synallaxis frontalis
ave,Taraba major,Taraba major
ave,Thamnophilus doliatus,Thamnophilus doliatus
ave,Pitangus sulphuratus,Pitangus sulphuratus
ave,Tyrannus melancholicus,Tyrannus melancholicus
ave,Fluvicola albiventer,Fluvicola albiventer
ave,Xolmis irupero,Xolmis irupero
ave,Myiarchus tyrannulus,Myiarchus tyrannulus
ave,Hemitriccus margaritaceiventer,Hemitriccus margaritaceiventer
ave,Pyrocephalus rubinus,Pyrocephalus rubinus
ave,Pachyramphus validus,Pachyramphus validus
ave,Progne tapera,Progne tapera
ave,Camptorhynchus turdinus,Camptorhynchus turdinus
ave,Troglodytes musculus,Troglodytes musculus
ave,Mimus saturninus,Mimus saturninus
ave,Turdus rufiventris,Turdus rufiventris
ave,Cyclarhis gujanensis,Cyclarhis gujanensis
ave,Geothlypis velata,Geothlypis velata
ave,Parula pitiayumi,Parula pitiayumi
ave,Coryphospingus cucullatus,Coryphospingus cucullatus
ave,Embernagra platensis,Embernagra platensis
ave,Sporophila collaris,Sporophila collaris
ave,Thraupis sayaca,Thraupis sayaca
ave,Saltator coerulescens,Saltator coerulescens
ave,Sicalis flaveola,Sicalis flaveola
ave,Sporophila caerulescens,Sporophila caerulescens
ave,Sporophila plumbea,Sporophila plumbea
ave,Cardinalis phoeniceus,Cardinalis phoeniceus
ave,Euphonia chlorotica,Euphonia chlorotica
ave,Molothrus rufoaxillaris,Molothrus rufoaxillaris
ave,Agelasticus cyanopus,Agelasticus cyanopus
ave,Agelaioides badius,Agelaioides badius
ave,Amblyramphus holosericeus,Amblyramphus holosericeus
ave,Icterus cayanensis,Icterus cayanensis
ave,Molothrus bonariensis,Molothrus bonariensis
ave,Polioptila dumicola,Polioptila dumicola
ave,Donacobius atricapilla,Donacobius atricapilla
ave,Zonotrichia capensis,Zonotrichia capensis
ave,Passer domesticus,Passer domesticus
planta,Gomphrena celosioides,Gomphrena celosioides
planta,Pfaffia glomerata,Pfaffia glomerata
planta,Annona emarginata,Annona emarginata
planta,Eyngium ebracteatum,Eyngium ebracteatum
planta,Copernicia alba,Copernicia alba
planta,Acrocomia aculeata,Acrocomia aculeata
planta,Cichorium intybus,Cichorium intybus
planta,Vernonthahura brasilensis,Vernonthahura brasilensis
planta,Sphagneticola brachycarpa,Sphagneticola brachycarpa
planta,Handroanthus heptaphyllus,Handroanthus heptaphyllus
planta,Dolichandra aff. unguis-cati,Dolichandra aff. unguis-cati
planta,Cordia americana,Cordia americana
planta,Tillandsia lolicaea,Tillandsia lolicaea
planta,Rhipsalis baccifera,Rhipsalis baccifera
planta,Celtis erengibiana,Celtis erengibiana
planta,Monteverdia ilicifolia,Monteverdia ilicifolia
planta,Terminalia triflora,Terminalia triflora
planta,Commelina erecta,Commelina erecta
planta,Eleocharis elegans,Eleocharis elegans
planta,Adelia membranifolia,Adelia membranifolia
planta,Sebastiania brasiliensis,Sebastiania brasiliensis
planta,Sapium hematostilum,Sapium hematostilum
planta,Chloroleucon tenuiflorum,Chloroleucon tenuiflorum
planta,Vachellia caven,Vachellia caven
planta,Peltophorum dubium,Peltophorum dubium
planta,Enterolobium contortisiliquum,Enterolobium contortisiliquum
planta,Parapiptadenia rigida,Parapiptadenia rigida
planta,Mimosa xanthocentra,Mimosa xanthocentra
planta,Erythrina crista-galli,Erythrina crista-galli
planta,Gleditsia amorphoides,Gleditsia amorphoides
planta,Cypella aff. exilis,Cypella aff. exilis
planta,Ocotea diospyrifolia,Ocotea diospyrifolia
planta,Ammannia auriculata,Ammannia auriculata
planta,Cuphea racemosa,Cuphea racemosa
planta,Bytneria filipes,Bytneria filipes
planta,Trichilia catigua,Trichilia catigua
planta,Dorstenia brasiliensis,Dorstenia brasiliensis
planta,Sorocea saxicola,Sorocea saxicola
planta,Eugenia moraviana,Eugenia moraviana
planta,Pisonia aculeata,Pisonia aculeata
planta,Campylocentrum neglectum,Campylocentrum neglectum
planta,Trichocentrum pumilum,Trichocentrum pumilum
planta,Seguieria paraguayensis,Seguieria paraguayensis
planta,Petiveria alliacea,Petiveria alliacea
planta,Scoparia dulcis,Scoparia dulcis
planta,Setaria parviflora,Setaria parviflora
planta,Andropogon lateralis,Andropogon lateralis
planta,Ruprechtia laxiflora,Ruprechtia laxiflora
planta,Pontederia cordata,Pontederia cordata
planta,Portulaca umbraticola,Portulaca umbraticola
planta,Adiantopsis tweediana,Adiantopsis tweediana
planta,Xylosma venosa,Xylosma venosa
planta,Paullinia pinnata,Paullinia pinnata
planta,Allophylus edulis,Allophylus edulis
planta,Smilax campestris,Smilax campestris
planta,Sidastrum paniculatum,Sidastrum paniculatum
planta,Solanum amygdalifolium,Solanum amygdalifolium
planta,Jaborosa integrifolia,Jaborosa integrifolia
planta,Solanum glaucoophyllum,Solanum glaucoophyllum
planta,Phyllostylon rhamnoides,Phyllostylon rhamnoides
planta,Glandularia peruviana,Glandularia peruviana
planta,Stachytarpheta cayenensis,Stachytarpheta cayenensis
