familia,especie,nombre_comun,uso,fisionomia,estado_agosto,estado_octubre
Amaranthaceae,Gomphrena celosioides,Perdurilla,Med,"B,S",flor,flor
Amaranthaceae,Pfaffia glomerata,,,"S","",
Annonaceae,Annona emarginata,,,B,,
Apiaceae,Eyngium ebracteatum,,,S,flor,"flor,fruto"
Arecaceae,Copernicia alba,karanday,,S,flor,fruto
Arecaceae,Acrocomia aculeata,mbokaja,,S,,
Asteraceae,Cichorium intybus,Achicoria,Med,"B,S",, 
Asteraceae,Vernonthahura brasilensis,,,"S",flor,
Asteraceae,Sphagneticola brachycarpa,,,"S",flor,flor
Bignoniaceae,Handroanthus heptaphyllus,Tajy pytã,M,B,flor,estéril
Bignoniaceae,Dolichandra aff. unguis-cati,Uña de gato,"O,Med",B,,flor
Boraginaceae,Cordia americana,Guajayví,,B,,
Bromeliaceae,Tillandsia lolicaea,,O,S,,
Cactaceae,Rhipsalis baccifera,,O,B,,
Cannabaceae,Celtis erengibiana,,,B,, 
Celastraceae,Monteverdia ilicifolia,Cangorosa,Med,"B,S",estéril,fruto
Combretaceae,Terminalia triflora,,M,B,,
Commelinaceae,Commelina erecta,,,M,B,,flor
Cyperaceae,Eleocharis elegans,,,B,flor,flor
Euphorbiaceae,Adelia membranifolia,,,M,B,fruto,""
Euphorbiaceae,Sebastiania brasiliensis,,,M,B,,fruto
Euphorbiaceae,Sapium hematostilum,kurupikay,"M,B,S",estéril,fruto
Fabaceae,Chloroleucon tenuiflorum,Tataré Espinillo,"M,B,S",,,
Fabaceae,Vachellia caven,Aromita,M,"Mel,B,S",, 
Fabaceae,Peltophorum dubium,Yvyra pytã,M,B,fruto,
Fabaceae,Enterolobium contortisiliquum,Timbo,M,B,fruto,
Fabaceae,Parapiptadenia rigida,kurupa’y ra,M,B,,fruto
Fabaceae,Mimosa xanthocentra,,,B,flor,
Fabaceae,Erythrina crista-galli,ceibo,"M,O,B,S",estéril,flor
Fabaceae,Gleditsia amorphoides,Yvope,M,B,,flor
Iridaceae,Cypella aff. exilis,,O,S,,
Lauraceae,Ocotea diospyrifolia,,M,B,,fruto
Lythraceae,Ammannia auriculata,,,S,flor,
Lythraceae,Cuphea racemosa,,,B,,flor
Malvaceae,Bytneria filipes,,,S,,
Meliaceae,Trichilia catigua,,,B,,
Moraceae,Dorstenia brasiliensis,Taropé,Med,"B,S",fruto,
Moraceae,Sorocea saxicola,,,M,B,,
Myrtaceae,Eugenia moraviana,,,B,flor,fruto
Nyctaginaceae,Pisonia aculeata,,,M,B,,
Orchidaceae,Campylocentrum neglectum,Orquídea,O,B,,
Orchidaceae,Trichocentrum pumilum,orquídea,O,B,,flor
Petiveriaceae,Seguieria paraguayensis,,,M,B,,
Petiveriaceae,Petiveria alliacea,pipí,,B,,
Plantaginaceae,Scoparia dulcis,Typycha kuratú,Med,B,flor,
Poaceae,Setaria parviflora,,,Med,B,flor,estéril
Poaceae,Andropogon lateralis,,,O,S,,
Polygonaceae,Ruprechtia laxiflora,,,M,B,,flor
Pontederiaceae,Pontederia cordata,aguapé,O,S,,flor
Portulacaceae,Portulaca umbraticola,,,S,flor,flor
Pteridaceae,Adiantopsis tweediana,Helecho,O,S,,
Salicaceae,Xylosma venosa,,,B,,
Sapindaceae,Paullinia pinnata,,B,flor,
Sapindaceae,Allophylus edulis,kokû,O,S,,fruto
Smolaceae,Smilax campestris,,,B,,
Solanaceae,Sidastrum paniculatum,,,M,S,dor,
Solanaceae,Solanum amygdalifolium,,,S,flor,flor
Solanaceae,Jaborosa integrifolia,tabaquillo,,S,flor,
Solanaceae,Solanum glaucoophyllum,,,S,,fruto
Ulmaceae,Phyllostylon rhamnoides,Palo lanza,M,B,fruto,
Verbenaceae,Glandularia peruviana,,,B,flor,fruto
Verbenaceae,Stachytarpheta cayenensis,Tatu ruguai,,S,flor,flor
